"season","week","franchise_id","franchise_score","opponent_id","opponent_score","result"
"2024","10","10","0","8","0","T"
"2024","10","11","0","9","0","T"
"2024","10","12","131.22","4","135.08","L"
"2024","10","13","0","14","0","T"
"2024","10","14","0","13","0","T"
"2024","11","1","0","6","0","T"
"2024","11","2","144.48","3","132.68","W"
"2024","11","3","132.68","2","144.48","L"
"2024","11","4","161.64","7","153.64","W"
"2024","11","5","131.74","12","155.84","L"
"2024","11","6","0","1","0","T"
"2024","11","7","153.64","4","161.64","L"
"2024","11","8","0","13","0","T"
"2024","11","9","0","10","0","T"
"2024","11","10","0","9","0","T"
"2024","11","11","0","14","0","T"
"2024","11","12","155.84","5","131.74","W"
"2024","11","13","0","8","0","T"
"2024","11","14","0","11","0","T"
"2024","12","1","0","6","0","T"
"2024","12","2","147.78","5","0","W"
"2024","12","3","145.62","4","118.76","W"
"2024","12","4","118.76","3","145.62","L"
"2024","12","5","0","2","147.78","L"
"2024","12","6","0","1","0","T"
"2024","12","7","183.16","12","151.8","W"
"2024","12","8","0","11","0","T"
"2024","12","9","0","13","0","T"
"2024","12","10","0","14","0","T"
"2024","12","11","0","8","0","T"
"2024","12","12","151.8","7","183.16","L"
"2024","12","13","0","9","0","T"
"2024","12","14","0","10","0","T"
"2024","13","1","0","6","0","T"
"2024","13","2","142.12","7","180.58","L"
"2024","13","3","147.92","12","156.54","L"
"2024","13","4","0","5","0","T"
"2024","13","5","0","4","0","T"
"2024","13","6","0","1","0","T"
"2024","13","7","180.58","2","142.12","W"
"2024","13","8","0","10","0","T"
"2024","13","9","0","14","0","T"
"2024","13","10","0","8","0","T"
"2024","13","11","0","13","0","T"
"2024","13","12","156.54","3","147.92","W"
"2024","13","13","0","11","0","T"
"2024","13","14","0","9","0","T"
"2024","14","1","0","6","0","T"
"2024","14","2","0","3","166.48","L"
"2024","14","3","166.48","2","0","W"
"2024","14","4","0","5","0","T"
"2024","14","5","0","4","0","T"
"2024","14","6","0","1","0","T"
"2024","14","7","172.56","12","225.58","L"
"2024","14","8","0","9","0","T"
"2024","14","9","0","8","0","T"
"2024","14","10","0","13","0","T"
"2024","14","11","0","14","0","T"
"2024","14","12","225.58","7","172.56","W"
"2024","14","13","0","10","0","T"
"2024","14","14","0","11","0","T"
"2024","15","1","0","5","0","T"
"2024","15","2","0","3","0","T"
"2024","15","3","0","2","0","T"
"2024","15","4","0","6","0","T"
"2024","15","5","0","1","0","T"
"2024","15","6","0","4","0","T"
"2024","15","7","195.2","12","198.68","L"
"2024","15","8","0","13","0","T"
"2024","15","9","0","11","0","T"
"2024","15","10","0","14","0","T"
"2024","15","11","0","9","0","T"
"2024","15","12","198.68","7","195.2","W"
"2024","15","13","0","8","0","T"
"2024","15","14","0","10","0","T"
"2024","16","1","0","9","0","T"
"2024","16","2","0","11","0","T"
"2024","16","3","0","5","0","T"
"2024","16","4","0","14","0","T"
"2024","16","5","0","3","0","T"
"2024","16","6","0","13","0","T"
"2024","16","7","0","8","0","T"
"2024","16","8","0","7","0","T"
"2024","16","9","0","1","0","T"
"2024","16","10","0","12","187.32","L"
"2024","16","11","0","2","0","T"
"2024","16","12","187.32","10","0","W"
"2024","16","13","0","6","0","T"
"2024","16","14","0","4","0","T"
"2024","17","1","0","14","0","T"
"2024","17","2","0","3","0","T"
"2024","17","3","0","2","0","T"
"2024","17","4","0","5","0","T"
"2024","17","5","0","4","0","T"
"2024","17","6","0","9","0","T"
"2024","17","7","0","10","0","T"
"2024","17","8","0","11","0","T"
"2024","17","9","0","6","0","T"
"2024","17","10","0","7","0","T"
"2024","17","11","0","8","0","T"
"2024","17","12","165.98","13","0","W"
"2024","17","13","0","12","165.98","L"
"2024","17","14","0","1","0","T"
"2024","18","1","0","5","0","T"
"2024","18","2","0","4","0","T"
"2024","18","3","0","8","0","T"
"2024","18","4","0","2","0","T"
"2024","18","5","0","1","0","T"
"2024","18","6","0","12","159.88","L"
"2024","18","7","0","13","0","T"
"2024","18","8","0","3","0","T"
"2024","18","9","0","14","0","T"
"2024","18","10","0","11","0","T"
"2024","18","11","0","10","0","T"
"2024","18","12","159.88","6","0","W"
"2024","18","13","0","7","0","T"
"2024","18","14","0","9","0","T"
"2025","1","1","86.46","15","109.12","L"
"2025","1","2","87.58","3","73.32","W"
"2025","1","3","73.32","2","87.58","L"
"2025","1","4","72.68","11","108.66","L"
"2025","1","5","52.22","13","97.76","L"
"2025","1","6","85.44","8","102.22","L"
"2025","1","7","98.18","16","109.92","L"
"2025","1","8","102.22","6","85.44","W"
"2025","1","9","93.9","14","91.82","W"
"2025","1","10","105.8","12","93.92","W"
"2025","1","11","108.66","4","72.68","W"
"2025","1","12","93.92","10","105.8","L"
"2025","1","13","97.76","5","52.22","W"
"2025","1","14","91.82","9","93.9","L"
"2025","1","15","109.12","1","86.46","W"
"2025","1","16","109.92","7","98.18","W"
"2025","1","17","101.92","18","114.98","L"
"2025","1","18","114.98","17","101.92","W"
"2025","2","1","140.2","16","93.56","W"
"2025","2","2","98.74","5","0","W"
"2025","2","3","86.68","18","121.8","L"
"2025","2","4","132.34","8","82.78","W"
"2025","2","5","0","2","98.74","L"
"2025","2","6","127.44","7","101.48","W"
"2025","2","7","101.48","6","127.44","L"
"2025","2","8","82.78","4","132.34","L"
"2025","2","9","100.18","11","103.52","L"
"2025","2","10","141.96","12","86.4","W"
"2025","2","11","103.52","9","100.18","W"
"2025","2","12","86.4","10","141.96","L"
"2025","2","13","77.62","17","122.28","L"
"2025","2","14","150.04","15","108.92","W"
"2025","2","15","108.92","14","150.04","L"
"2025","2","16","93.56","1","140.2","L"
"2025","2","17","122.28","13","77.62","W"
"2025","2","18","121.8","3","86.68","W"
"2025","3","1","122.32","4","91.48","W"
"2025","3","2","136.34","11","79.52","W"
"2025","3","3","112.72","15","114.52","L"
"2025","3","4","91.48","1","122.32","L"
"2025","3","5","0","13","0","T"
"2025","3","6","81.02","8","99.3","L"
"2025","3","7","95.16","16","104.26","L"
"2025","3","8","99.3","6","81.02","W"
"2025","3","9","122.52","14","97.62","W"
"2025","3","10","131.14","12","135.32","L"
"2025","3","11","79.52","2","136.34","L"
"2025","3","12","135.32","10","131.14","W"
"2025","3","13","0","5","0","T"
"2025","3","14","97.62","9","122.52","L"
"2025","3","15","114.52","3","112.72","W"
"2025","3","16","104.26","7","95.16","W"
"2025","3","17","129.84","18","111.52","W"
"2025","3","18","111.52","17","129.84","L"
"2025","4","1","107.68","12","117.82","L"
"2025","4","2","91.36","6","159.54","L"
"2025","4","3","126.78","17","114.3","W"
"2025","4","4","87.56","10","151.3","L"
"2025","4","5","0","11","0","T"
"2025","4","6","159.54","2","91.36","W"
"2025","4","7","113.92","16","148.54","L"
"2025","4","8","130.72","9","126.94","W"
"2025","4","9","126.94","8","130.72","L"
"2025","4","10","151.3","4","87.56","W"
"2025","4","11","0","5","0","T"
"2025","4","12","117.82","1","107.68","W"
"2025","4","13","0","14","156.14","L"
"2025","4","14","156.14","13","0","W"
"2025","4","15","121.26","18","132.86","L"
"2025","4","16","148.54","7","113.92","W"
"2025","4","17","114.3","3","126.78","L"
"2025","4","18","132.86","15","121.26","W"
"2025","5","1","84.3","7","135.16","L"
"2025","5","2","116.68","16","106.34","W"
"2025","5","3","117.06","15","154.82","L"
"2025","5","4","0","5","0","T"
"2025","5","5","0","4","0","T"
"2025","5","6","113.68","14","155.02","L"
"2025","5","7","135.16","1","84.3","W"
"2025","5","8","125.64","17","154.18","L"
"2025","5","9","112","10","149.86","L"
"2025","5","10","149.86","9","112","W"
"2025","5","11","0","13","0","T"
"2025","5","12","139.94","18","104.76","W"
"2025","5","13","0","11","0","T"
"2025","5","14","155.02","6","113.68","W"
"2025","5","15","154.82","3","117.06","W"
"2025","5","16","106.34","2","116.68","L"
"2025","5","17","154.18","8","125.64","W"
"2025","5","18","104.76","12","139.94","L"
"2025","6","1","0","4","0","T"
"2025","6","2","128.74","7","112.58","W"
"2025","6","3","100.72","18","133.94","L"
"2025","6","4","0","1","0","T"
"2025","6","5","0","13","0","T"
"2025","6","6","102.46","12","123.44","L"
"2025","6","7","112.58","2","128.74","L"
"2025","6","8","121.06","11","0","W"
"2025","6","9","146.78","16","168.74","L"
"2025","6","10","109.42","14","146.98","L"
"2025","6","11","0","8","121.06","L"
"2025","6","12","123.44","6","102.46","W"
"2025","6","13","0","5","0","T"
"2025","6","14","146.98","10","109.42","W"
"2025","6","15","100.3","17","143.88","L"
"2025","6","16","168.74","9","146.78","W"
"2025","6","17","143.88","15","100.3","W"
"2025","6","18","133.94","3","100.72","W"
"2025","7","1","0","4","0","T"
"2025","7","2","125.24","12","127.78","L"
"2025","7","3","91.36","6","176.86","L"
"2025","7","4","0","1","0","T"
"2025","7","5","0","13","0","T"
"2025","7","6","176.86","3","91.36","W"
"2025","7","7","152.02","18","159.52","L"
"2025","7","8","141.4","17","129.64","W"
"2025","7","9","203.76","10","144.78","W"
"2025","7","10","144.78","9","203.76","L"
"2025","7","11","0","15","0","T"
"2025","7","12","127.78","2","125.24","W"
"2025","7","13","0","5","0","T"
"2025","7","14","181.62","16","117.74","W"
"2025","7","15","0","11","0","T"
"2025","7","16","117.74","14","181.62","L"
"2025","7","17","129.64","8","141.4","L"
"2025","7","18","159.52","7","152.02","W"
"2025","8","1","0","4","0","T"
"2025","8","2","86.16","7","178.88","L"
"2025","8","3","0","15","0","T"
"2025","8","4","0","1","0","T"
"2025","8","5","0","11","0","T"
"2025","8","6","154.28","18","124.28","W"
"2025","8","7","178.88","2","86.16","W"
"2025","8","8","123.08","17","151.06","L"
"2025","8","9","97.02","16","161.92","L"
"2025","8","10","144.9","13","0","W"
"2025","8","11","0","5","0","T"
"2025","8","12","151.38","14","165.92","L"
"2025","8","13","0","10","144.9","L"
"2025","8","14","165.92","12","151.38","W"
"2025","8","15","0","3","0","T"
"2025","8","16","161.92","9","97.02","W"
"2025","8","17","151.06","8","123.08","W"
"2025","8","18","124.28","6","154.28","L"
"2025","9","1","0","15","0","T"
"2025","9","2","0","3","0","T"
"2025","9","3","0","2","0","T"
"2025","9","4","0","11","0","T"
"2025","9","5","0","13","0","T"
"2025","9","6","168.02","8","168.1","L"
"2025","9","7","153.22","16","188.3","L"
"2025","9","8","168.1","6","168.02","W"
"2025","9","9","212.9","14","134.56","W"
"2025","9","10","125.82","12","133.6","L"
"2025","9","11","0","4","0","T"
"2025","9","12","133.6","10","125.82","W"
"2025","9","13","0","5","0","T"
"2025","9","14","134.56","9","212.9","L"
"2025","9","15","0","1","0","T"
"2025","9","16","188.3","7","153.22","W"
"2025","9","17","157.3","18","167.14","L"
"2025","9","18","167.14","17","157.3","W"
"2025","10","1","0","13","0","T"
"2025","10","2","0","4","0","T"
"2025","10","3","0","16","126.02","L"
"2025","10","4","0","2","0","T"
"2025","10","5","0","15","0","T"
"2025","10","6","195.5","11","0","W"
"2025","10","7","153.58","14","188.64","L"
"2025","10","8","135.7","18","188","L"
"2025","10","9","179.4","12","163.6","W"
"2025","10","10","0","17","179.42","L"
"2025","10","11","0","6","195.5","L"
"2025","10","12","163.6","9","179.4","L"
