"week","franchise_id","franchise_score","opponent_id","opponent_score","result","season"
"12","1","230.94","4","199.94","W","2023"
"12","2","254.5","13","225.38","W","2023"
"12","3","209.76","11","225.16","L","2023"
"12","4","199.94","1","230.94","L","2023"
"12","5","167.7","6","179.52","L","2023"
"12","6","179.52","5","167.7","W","2023"
"12","7","209.7","14","225.74","L","2023"
"12","8","165.66","9","198.74","L","2023"
"12","9","198.74","8","165.66","W","2023"
"12","10","154.88","12","177.3","L","2023"
"12","11","225.16","3","209.76","W","2023"
"12","12","177.3","10","154.88","W","2023"
"12","13","225.38","2","254.5","L","2023"
"12","14","225.74","7","209.7","W","2023"
"13","1","222.14","14","207.32","W","2023"
"13","2","203.86","11","154.02","W","2023"
"13","3","163.46","5","193.56","L","2023"
"13","4","171.64","8","212.22","L","2023"
"13","5","193.56","3","163.46","W","2023"
"13","6","213.28","9","166.3","W","2023"
"13","7","131.5","10","162.22","L","2023"
"13","8","212.22","4","171.64","W","2023"
"13","9","166.3","6","213.28","L","2023"
"13","10","162.22","7","131.5","W","2023"
"13","11","154.02","2","203.86","L","2023"
"13","12","102.3","13","154.52","L","2023"
"13","13","154.52","12","102.3","W","2023"
"13","14","207.32","1","222.14","L","2023"
"14","1","197.28","9","213.2","L","2023"
"14","2","186.66","8","196","L","2023"
"14","3","128","4","217.18","L","2023"
"14","4","217.18","3","128","W","2023"
"14","5","192.9","13","213.38","L","2023"
"14","6","188.6","7","112.04","W","2023"
"14","7","112.04","6","188.6","L","2023"
"14","8","196","2","186.66","W","2023"
"14","9","213.2","1","197.28","W","2023"
"14","10","124.68","11","165.4","L","2023"
"14","11","165.4","10","124.68","W","2023"
"14","12","149.1","14","194.66","L","2023"
